code,name,faculty,duration,type,branch,section,year,credits,semesterHalf,basket,isElective,sharedWith
EC456,Techniques Reinforcement Learning,Dr. Dibyajyothi,1,Theory,DSAI,ALL,4,4,0,1,FALSE,"CSE,ECE"
DS401,Health Care Data Analytics,Dr. Girish G N,1,Theory,DSAI,ALL,4,4,0,1,FALSE,"CSE,ECE"
EC462,Generative AI,Dr. Chinmayananda A,1,Theory,DSAI,ALL,4,4,0,1,FALSE,"CSE,ECE"
EC463,Hands on CMOS Analog and RF circuit design,Dr. Rajesh Kumar,1,Theory,DSAI,ALL,4,4,0,1,FALSE,"CSE,ECE"
ASD352,Fog Interactions and Experience Design,Dr. Sandesh P,1,Theory,DSAI,ALL,4,4,0,1,FALSE,"CSE,ECE"
PH454,Quantum AI: Generative Models on Quantum Platform,Dr. Aswath Babu,1,Theory,DSAI,ALL,4,4,0,1,FALSE,"CSE,ECE"
CS457,DevOps and its Applications,Dr. Shrishendu Layek,1,Theory,DSAI,ALL,4,4,0,1,FALSE,"CSE,ECE"
DS458,Aseptic AI,Dr. Sunil Saumya,1,Theory,DSAI,ALL,4,4,0,1,FALSE,"CSE,ECE"
CS468,Information Retrieval Cloud SRE and,Dr. Krishnendu,1,Theory,DSAI,ALL,4,4,0,1,FALSE,"CSE,ECE"
CS473,Security Software Defined Networks,Dr. Malay Kumar,1,Theory,DSAI,ALL,4,4,0,1,FALSE,"CSE,ECE"
CS470,AI for Cybersecurity Finance and,Dr. Abdul Wahid,1,Theory,DSAI,ALL,4,4,0,1,FALSE,"CSE,ECE"
DS102,Accounting,Dr. Amushree,1,Theory,DSAI,ALL,4,4,0,1,FALSE,"CSE,ECE"
MA452,Operation Research,Dr. Anand Barangi,1,Theory,DSAI,ALL,4,4,0,1,FALSE,"CSE,ECE"
EC463,Energy Efficient Neural Networks,Dr. Jagadish D N,1,Theory,DSAI,ALL,4,4,0,1,FALSE,"CSE,ECE"
DS456,Cybersecurity,Dr. Rajendra Hegadi,1,Theory,ECE,ALL,4,4,0,1,FALSE,"CSE,DSAI"
EC456,Techniques Reinforcement Learning,Dr. Dibyajyothi,1,Theory,ECE,ALL,4,4,0,1,FALSE,"CSE,DSAI"
DS401,Health Care Data Analytics,Dr. Girish G N,1,Theory,ECE,ALL,4,4,0,1,FALSE,"CSE,DSAI"
EC462,Generative AI,Dr. Chinmayananda A,1,Theory,ECE,ALL,4,4,0,1,FALSE,"CSE,DSAI"
EC463,Hands on CMOS Analog and RF circuit design,Dr. Rajesh Kumar,1,Theory,ECE,ALL,4,4,0,1,FALSE,"CSE,DSAI"
ASD352,Fog Interactions and Experience Design,Dr. Sandesh P,1,Theory,ECE,ALL,4,4,0,1,FALSE,"CSE,DSAI"
PH454,Quantum AI: Generative Models on Quantum Platform,Dr. Aswath Babu,1,Theory,ECE,ALL,4,4,0,1,FALSE,"CSE,DSAI"
CS457,DevOps and its Applications,Dr. Shrishendu Layek,1,Theory,ECE,ALL,4,4,0,1,FALSE,"CSE,DSAI"
DS458,Aseptic AI,Dr. Sunil Saumya,1,Theory,ECE,ALL,4,4,0,1,FALSE,"CSE,DSAI"
CS468,Information Retrieval Cloud SRE and,Dr. Krishnendu,1,Theory,ECE,ALL,4,4,0,1,FALSE,"CSE,DSAI"
CS473,Security Software Defined Networks,Dr. Malay Kumar,1,Theory,ECE,ALL,4,4,0,1,FALSE,"CSE,DSAI"
CS470,AI for Cybersecurity Finance and,Dr. Abdul Wahid,1,Theory,ECE,ALL,4,4,0,1,FALSE,"CSE,DSAI"
DS102,Accounting,Dr. Amushree,1,Theory,ECE,ALL,4,4,0,1,FALSE,"CSE,DSAI"
MA452,Operation Research,Dr. Anand Barangi,1,Theory,ECE,ALL,4,4,0,1,FALSE,"CSE,DSAI"
EC463,Energy Efficient Neural Networks,Dr. Jagadish D N,1,Theory,ECE,ALL,4,4,0,1,FALSE,"CSE,DSAI"
